personLookup,dictText
agur_112,"Gatherer; the collector, mentioned as author of the sayings in [Prov. 30](/prov#Prov.30). Nothing is known of him beyond what is there recorded."
ahab_113,"The son of Omri, whom he succeeded as the seventh king of Israel. His history is recorded in [1 Kings 16](/1kgs#1Kgs.16)-22. His wife was Jezebel (q.v.), who exercised a very evil influence over him. To the calf-worship introduced by Jeroboam he added the worship of Baal. He was severely admonished by Elijah (q.v.) for his wickedness. His anger was on this account kindled against the prophet, and he sought to kill him. He undertook three campaigns against Ben-hadad II., king of Damascus. In the first two, which were defensive, he gained a complete victory over Ben-hadad, who fell into his hands, and was afterwards released on the condition of his restoring all the cities of Israel he then held, and granting certain other concessions to Ahab. After three years of peace, for some cause Ahab renewed war ([1 Kings 22:3](/1kgs#1Kgs.22.3)) with Ben-hadad by assaulting the city of Ramoth-gilead, although the prophet Micaiah warned him that he would not succeed, and that the 400 false prophets who encouraged him were only leading him to his ruin. Micaiah was imprisoned for thus venturing to dissuade Ahab from his purpose. Ahab went into the battle disguised, that he might if possible escape the notice of his enemies; but an arrow from a bow “drawn at a venture” pierced him, and though stayed up in his chariot for a time he died towards evening, and Elijah’s prophecy ([1 Kings 21:19](/1kgs#1Kgs.21.19)) was fulfilled. He reigned twenty-three years. Because of his idolatry, lust, and covetousness, Ahab is referred to as pre-eminently the type of a wicked king ([2 Kings 8:18](/2kgs#2Kgs.8.18); [2 Chr. 22:3](/2chr#2Chr.22.3); [Micah 6:16](/mic#Mic.6.16))."
ahab_114,"A false prophet referred to by Jeremiah ([Jer. 29:21](/jer#Jer.29.21)), of whom nothing further is known."
aharhel_115,
ahasbai_116,
ahasuerus_117,"The son of Darius Hystaspes, the king named in the Book of Esther. He ruled over the kingdoms of Persia, Media, and Babylonia, “from India to Ethiopia.” This was in all probability the Xerxes of profane history, who succeeded his father Darius (B.C. 485). In the LXX. version of the Book of Esther the name Artaxerxes occurs for Ahasuerus. He reigned for twenty-one years (B.C. 486-465). He invaded Greece with an army, it is said, of more than 2,000,000 soldiers, only 5,000 of whom returned with him. Leonidas, with his famous 300, arrested his progress at the Pass of Thermopylae, and then he was defeated disastrously by Themistocles at Salamis. It was after his return from this invasion that Esther was chosen as his queen."
ahaz_118,"The son and successor of Jotham, king of Judah ([2 Kings 16](/2kgs#2Kgs.16); [Isa. 7](/isa#Isa.7)-9; [2 Chr. 28](/2chr#2Chr.28)). He gave himself up to a life of wickedness and idolatry. Notwithstanding the remonstrances and warnings of Isaiah, Hosea, and Micah, he appealed for help against Rezin, king of Damascus, and Pekah, king of Israel, who threatened Jerusalem, to Tiglath-pileser, the king of Assyria, to the great injury of his kingdom and his own humilating subjection to the Assyrians ([2 Kings 16:7](/2kgs#2Kgs.16.7), [9](/2kgs#2Kgs.16.9); 15:29). He also introduced among his people many heathen and idolatrous customs ([Isa. 8:19](/isa#Isa.8.19); [38:8](/isa#Isa.38.8); [2 Kings 23:12](/2kgs#2Kgs.23.12)). He died at the age of thirty-five years, after reigning sixteen years (B.C. 740-724), and was succeeded by his son Hezekiah. Because of his wickedness he was “not brought into the sepulchre of the kings.”"
ahaz_119,A grandson of Jonathan ([1 Chr. 8:35](/1chr#1Chr.8.35); [9:42](/1chr#1Chr.9.42)).
ahaziah_120,"The son and successor of Ahab. He followed the counsels of his mother Jezebel, and imitated in wickedness the ways of his father. In his reign the Moabites revolted from under his authority ([2 Kings 3:5-7](/2kgs#2Kgs.3.5)). He united with Jehoshaphat in an attempt to revive maritime trade by the Red Sea, which proved a failure ([2 Chr. 20:35-37](/2chr#2Chr.20.35)). His messengers, sent to consult the god of Ekron regarding his recovery from the effects of a fall from the roof-gallery of his palace, were met on the way by Elijah, who sent them back to tell the king that he would never rise from his bed ([1 Kings 22:51](/1kgs#1Kgs.22.51); [2 Kings 1:18](/2kgs#2Kgs.1.18))."
ahaziah_121,"The son of Joram, or Jehoram, and sixth king of Judah. Called Jehoahaz ([2 Chr. 21:17](/2chr#2Chr.21.17); [25:23](/2chr#2Chr.25.23)), and Azariah ([2 Chr. 22:6](/2chr#2Chr.22.6)). Guided by his idolatrous mother Athaliah, his reign was disastrous ([2 Kings 8:24-29](/2kgs#2Kgs.8.24); [9:29](/2kgs#2Kgs.9.29)). He joined his uncle Jehoram, king of Israel, in an expedition against Hazael, king of Damascus; but was wounded at the pass of Gur when attempting to escape, and had strength only to reach Megiddo, where he died ([2 Kings 9:22-28](/2kgs#2Kgs.9.22)). He reigned only one year."
ahban_122,
aher_123,
ahi_124,
ahi_125,
ahiah_127,One of Solomon’s secretaries ([1 Kings 4:3](/1kgs#1Kgs.4.3)).
ahiah_128,"One of the sons of Bela ([1 Chr. 8:7](/1chr#1Chr.8.7), R.V.). In A.V. called “Ahiah.”"
ahiam_129,"Mother’s brother, one of David’s thirty heroes ([2 Sam. 23:33](/2sam#2Sam.23.33); [1 Chr. 11:35](/1chr#1Chr.11.35))."
ahian_130,
ahiezer_131,
ahiezer_132,The chief of the Benjamite slingers that repaired to David at Ziklag ([1 Chr. 12:3](/1chr#1Chr.12.3)).
ahihud_133,"Name different in Hebrew, meaning brother of Judah. Chief of the tribe of Asher; one of those appointed by Moses to superintend the division of Canaan among the tribe ([Num. 34:27](/num#Num.34.27))."
ahihud_134,"A son of Bela, the son of Benjamin ([1 Chr. 8:7](/1chr#1Chr.8.7))."
ahijah_135,"A prophet of Shiloh ([1 Kings 11:29](/1kgs#1Kgs.11.29); [14:2](/1kgs#1Kgs.14.2)), called the “Shilonite,” in the days of Rehoboam. We have on record two of his remarkable prophecies, [1 Kings 11:31-39](/1kgs#1Kgs.11.31), announcing the rending of the ten tribes from Solomon; and [1 Kings 14:6-16](/1kgs#1Kgs.14.6), delivered to Jeroboam’s wife, foretelling the death of Abijah the king’s son, the destruction of Jeroboam’s house, and the captivity of Israel “beyond the river.” Jeroboam bears testimony to the high esteem in which he was held as a prophet of God ([1 Kings 14:2](/1kgs#1Kgs.14.2), [3](/1kgs#1Kgs.14.3))."
ahijah_136,
ahijah_137,"One of the five sons of Jerahmeel, who was great-grandson of Judah ([1 Chr. 2:25](/1chr#1Chr.2.25))."
ahijah_138,"A Pelonite, one of David’s heroes ([1 Chr. 11:36](/1chr#1Chr.11.36)); called also Eliam ([2 Sam. 23:34](/2sam#2Sam.23.34))."
ahijah_139,A Levite having charge of the sacred treasury in the temple ([1 Chr. 26:20](/1chr#1Chr.26.20)).
ahijah_140,
ahikam_141,"Brother of support = helper, one of the five whom Josiah sent to consult the prophetess Huldah in connection with the discovery of the book of the law ([2 Kings 22:12-14](/2kgs#2Kgs.22.12); [2 Chr. 34:20](/2chr#2Chr.34.20)). He was the son of Shaphan, the royal secretary, and the father of Gedaliah, governor of Judea after the destruction of Jerusalem by the Babylonians ([2 Kings 25:22](/2kgs#2Kgs.25.22); [Jer. 40:5-16](/jer#Jer.40.5); [43:6](/jer#Jer.43.6)). On one occasion he protected Jeremiah against the fury of Jehoiakim ([Jer. 26:24](/jer#Jer.26.24)). It was in the chamber of another son (Germariah) of Shaphan that Baruch read in the ears of all the people Jeremiah’s roll."
ahilud_142,
ahimaaz_143,"The father Ahinoam, the wife of Saul ([1 Sam. 14:50](/1sam#1Sam.14.50))."
ahimaaz_144,"The son and successor of Zadok in the office of high priest ([1 Chr. 6:8](/1chr#1Chr.6.8), [53](/1chr#1Chr.6.53)). On the occasion of the revolt of Absalom he remained faithful to David, and was of service to him in conveying to him tidings of the proceedings of Absalom in Jerusalem ([2 Sam. 15:24-37](/2sam#2Sam.15.24); [17:15-21](/2sam#2Sam.17.15)). He was swift of foot, and was the first to carry to David tidings of the defeat of Absalom, although he refrained, from delicacy of feeling, from telling him of his death ([2 Sam. 18:19-33](/2sam#2Sam.18.19))."
ahimaaz_145,
ahiman_146,One of the three giant Anakim brothers whom Caleb and the spies saw in Mount Hebron ([Num. 13:22](/num#Num.13.22)) when they went in to explore the land. They were afterwards driven out and slain ([Josh. 15:14](/josh#Josh.15.14); [Judg. 1:10](/judg#Judg.1.10)).
ahiman_147,One of the guardians of the temple after the Exile ([1 Chr. 9:17](/1chr#1Chr.9.17)).
ahimelech_126,"Son of Ahitub ([1 Sam. 14:3](/1sam#1Sam.14.3), [18](/1sam#1Sam.14.18)), Ichabod’s brother; the same probably as Ahimelech, who was high priest at Nob in the reign of Saul ([1 Sam. 22:11](/1sam#1Sam.22.11)). Some, however, suppose that Ahimelech was the brother of Ahijah, and that they both officiated as high priests, Ahijah at Gibeah or Kirjath-jearim, and Ahimelech at Nob."
ahimelech_148,
ahimelech_149,"The son of Abiathar, and high priest in the time of David ([1 Chr. 18:16](/1chr#1Chr.18.16)). In the parallel passage, [2 Sam. 8:17](/2sam#2Sam.8.17), we have the name Ahimelech, and Abiathar, the son of Ahimelech. This most authorities consider the more correct reading."
ahinadab_151,"Brother of liberality = liberal, one of the twelve commissariat officers appointed by Solomon in so many districts of his kingdom to raise supplies by monthly rotation for his household. He was appointed to the district of Mahanaim ([1 Kings 4:14](/1kgs#1Kgs.4.14)), east of Jordan."
ahinoam_152,"The daughter of Ahimaaz, and wife of Saul ([1 Sam. 14:50](/1sam#1Sam.14.50))."
ahinoam_153,"A Jezreelitess, the first wife of David ([1 Sam. 25:43](/1sam#1Sam.25.43); [27:3](/1sam#1Sam.27.3)). She was the mother of Amnon ([2 Sam. 3:2](/2sam#2Sam.3.2)). (See [1 Sam. 30:5](/1sam#1Sam.30.5), [18](/1sam#1Sam.30.18); [2 Sam. 2:2](/2sam#2Sam.2.2).)"
ahio_154,"One of the sons of Abinadab the Levite. While Uzzah went by the side of the ark, he walked before it guiding the oxen which drew the cart on which it was carried, after having brought it from his father’s house in Gibeah ([1 Chr. 13:7](/1chr#1Chr.13.7); [2 Sam. 6:3](/2sam#2Sam.6.3), [4](/2sam#2Sam.6.4))."
ahio_155,One of the sons of Beriah ([1 Chr. 8:14](/1chr#1Chr.8.14)).
ahio_156,One of the sons of Jehiel the Gibeonite ([1 Chr. 8:31](/1chr#1Chr.8.31); [9:37](/1chr#1Chr.9.37)).
ahira_157,"Brother of evil = unlucky, or my brother is friend, chief of the tribe of Naphtali at the Exodus ([Num. 1:15](/num#Num.1.15); [2:29](/num#Num.2.29))."
ahiram_158,
ahisamach_159,
ahishahar_160,
ahishar_161,"Brother of song = singer, the officer who was “over the household” of Solomon ([1 Kings 4:6](/1kgs#1Kgs.4.6))."
ahithophel_162,"Brother of insipidity or impiety, a man greatly renowned for his sagacity among the Jews. At the time of Absalom’s revolt he deserted David ([Ps. 41:9](/ps#Ps.41.9); [55:12-14](/ps#Ps.55.12)) and espoused the cause of Absalom ([2 Sam. 15:12](/2sam#2Sam.15.12)). David sent his old friend Hushai back to Absalom, in order that he might counteract the counsel of Ahithophel ([2 Sam. 15:31-37](/2sam#2Sam.15.31)). This end was so far gained that Ahithophel saw he had no longer any influence, and accordingly he at once left the camp of Absalom and returned to Giloh, his native place, where, after arranging his wordly affairs, he hanged himself, and was buried in the sepulchre of his fathers ([2 Sam. 17:1-23](/2sam#2Sam.17.1)). He was the type of Judas ([Ps. 41:9](/ps#Ps.41.9))."
ahitub_163,"The son of Phinehas. On the death of his grandfather Eli he succeeded to the office of high priest, and was himself succeeded by his son Ahijah ([1 Sam. 14:3](/1sam#1Sam.14.3); [22:9](/1sam#1Sam.22.9), [11](/1sam#1Sam.22.11), [12](/1sam#1Sam.22.12), [20](/1sam#1Sam.22.20))."
ahitub_164,"The father of Zadok, who was made high priest by Saul after the extermination of the family of Ahimelech ([1 Chr. 6:7](/1chr#1Chr.6.7), [8](/1chr#1Chr.6.8); [2 Sam. 8:17](/2sam#2Sam.8.17))."
ahitub_165,
ahlai_166,
ahlai_167,
ahoah_168,"Brotherly, one of the sons of Bela, the son of Benjamin ([1 Chr. 8:4](/1chr#1Chr.8.4)). He is also called Ahiah (ver. 7) and Iri ([1 Chr. 7:7](/1chr#1Chr.7.7)). His descendants were called Ahohites ([2 Sam. 23:9](/2sam#2Sam.23.9), [28](/2sam#2Sam.23.28))."
aholah_169,
aholiab_170,"Tent of the father, an artist of the tribe of Dan, appointed to the work of preparing materials for the tabernacle ([Ex. 31:6](/exod#Exod.31.6); [35:34](/exod#Exod.35.34); [36:1](/exod#Exod.36.1), [2](/exod#Exod.36.2); [38:23](/exod#Exod.38.23))."
aholibah_171,"My tent is in her, the name of an imaginary harlot, applied symbolically to Jerusalem, because she had abandoned the worship of the true God and given herself up to the idolatries of foreign nations. ([Ezek. 23:4](/ezek#Ezek.23.4), [11](/ezek#Ezek.23.11), [22](/ezek#Ezek.23.22), [36](/ezek#Ezek.23.36), [44](/ezek#Ezek.23.44))."
aholibamah_172,
aholibamah_173,
aholibamah_1761,"Jewess, the daughter of Beeri the Hittite, and one of Esau’s wives ([Gen. 26:34](/gen#Gen.26.34)), elsewhere called Aholibamah (36:2-14)."
ahumai_174,
ahuzam_175,
ahuzzath_176,
aiah_177,
ajah_178,
akan_179,"He twists, one of the sons of Ezer, the son of Seir the Horite ([1 Chr. 1:42](/1chr#1Chr.1.42))."
akkub_180,A descendant of David ([1 Chr. 3:24](/1chr#1Chr.3.24)).
akkub_181,A Levite who kept the gate of the temple after the return from Babylon ([1 Chr. 9:17](/1chr#1Chr.9.17); [Ezra 2:42](/ezra#Ezra.2.42); [Neh. 7:45](/neh#Neh.7.45)).
akkub_182,The head of one of the families of Nethinim ([Ezra 2:45](/ezra#Ezra.2.45)).
akkub_183,
alameth_184,"One of the nine sons of Becher, the son of Benjamin ([1 Chr. 7:8](/1chr#1Chr.7.8))."
alemeth_185,"One of the sons of Jehoadah, or Jarah, son of Ahaz ([1 Chr. 8:36](/1chr#1Chr.8.36))."
alexander_186,"A man whose father, Simon the Cyrenian, bore the cross of Christ ([Mark 15:21](/mark#Mark.15.21))."
alexander_187,"A relative of Annas the high priest, present when Peter and John were examined before the Sanhedrim ([Acts 4:6](/acts#Acts.4.6))."
alexander_188,A Jew of Ephesus who took a prominent part in the uproar raised there by the preaching of Paul ([Acts 19:33](/acts#Acts.19.33)). The Jews put him forward to plead their cause before the mob. It was probably intended that he should show that he and the other Jews had no sympathy with Paul any more than the Ephesians had. It is possible that this man was the same as the following.
alexander_189,"A coppersmith who, with Hymenaeus and others, promulgated certain heresies regarding the resurrection ([1 Tim. 1:19](/1tim#1Tim.1.19); [2 Tim. 4:14](/2tim#2Tim.4.14)), and made shipwreck of faith and of a good conscience. Paul excommunicated him ([1 Tim. 1:20](/1tim#1Tim.1.20); comp. [1 Cor. 5:5](/1cor#1Cor.5.5))."
allon_190,"The son of Jedaiah, of the family of the Simeonites, who expelled the Hamites from the valley of Gedor ([1 Chr. 4:37](/1chr#1Chr.4.37))."
almodad_191,"Immeasurable, the first named of the sons of Joktan ([Gen. 10:26](/gen#Gen.10.26)), the founder of an Arabian tribe."
alphaeus_192,"The father of James the Less, the apostle and writer of the epistle ([Matt. 10:3](/matt#Matt.10.3); [Mark 3:18](/mark#Mark.3.18); [Luke 6:15](/luke#Luke.6.15); [Acts 1:13](/acts#Acts.1.13)), and the husband of Mary ([John 19:25](/john#John.19.25)). The Hebrew form of this name is Cleopas, or Clopas (q.v.)."
alphaeus_193,"The father of Levi, or Matthew ([Mark 2:14](/mark#Mark.2.14))."
alvah_194,
alvan_195,
amal_196,
amalek_197,"Dweller in a valley, the son of Eliphaz and grandson of Esau ([Gen. 36:12](/gen#Gen.36.12); [1 Chr. 1:36](/1chr#1Chr.1.36)); the chief of an Idumean tribe ([Gen. 36:16](/gen#Gen.36.16)). His mother was a Horite, a tribe whose territory the descendants of Esau had seized."
amariah_198,"One of the descendants of Aaron by Eleazar ([1 Chr. 6:7](/1chr#1Chr.6.7), [52](/1chr#1Chr.6.52)). He was probably the last of the high priests of Eleazar’s line prior to the transfer of that office to Eli, of the line of Ithamar."
amariah_199,[1 Chr. 6:11](/1chr#1Chr.6.11); [Ezra 7:3](/ezra#Ezra.7.3).
amariah_200,"A Levite, son of Hebron, of the lineage of Moses ([1 Chr. 23:19](/1chr#1Chr.23.19); [24:23](/1chr#1Chr.24.23))."
amariah_201,A “chief priest” who took an active part in the reformation under Jehoshaphat ([2 Chr. 19:11](/2chr#2Chr.19.11)); probably the same as mentioned in [1 Chr. 6:9](/1chr#1Chr.6.9).
amariah_202,One of the high priests in the time of Hezekiah ([2 Chr. 31:15](/2chr#2Chr.31.15)).
amariah_203,[Ezra 10:42](/ezra#Ezra.10.42).
amariah_204,[Neh. 10:3](/neh#Neh.10.3).
amariah_205,[Neh. 11:4](/neh#Neh.11.4).
amariah_206,[Zeph. 1:1](/zeph#Zeph.1.1).
amasa_207,"The son of Abigail, a sister of king David ([1 Chr. 2:17](/1chr#1Chr.2.17); [2 Sam. 17:25](/2sam#2Sam.17.25)). He was appointed by David to command the army in room of his cousin Joab ([2 Sam. 19:13](/2sam#2Sam.19.13)), who afterwards treacherously put him to death as a dangerous rival ([2 Sam. 20:4-12](/2sam#2Sam.20.4))."
amasa_208,"A son of Hadlai, and chief of Ephraim ([2 Chr. 28:12](/2chr#2Chr.28.12)) in the reign of Ahaz."
amasai_209,"A Levite, son of Elkanah, of the ancestry of Samuel ([1 Chr. 6:25](/1chr#1Chr.6.25), [35](/1chr#1Chr.6.35))."
amasai_210,"The leader of a body of men who joined David in the “stronghold,” probably of Adullam ([1 Chr. 12:18](/1chr#1Chr.12.18))."
amasai_211,One of the priests appointed to precede the ark with blowing of trumpets on its removal from the house of Obed-edom ([1 Chr. 15:24](/1chr#1Chr.15.24)).
amasai_212,"The father of a Levite, one of the two Kohathites who took a prominent part at the instance of Hezekiah in the cleansing of the temple ([2 Chr. 29:12](/2chr#2Chr.29.12))."
amasiah_213,"Burden of (i.e., “sustained by”) Jehovah, the “son of Zichri, who willingly offered himself unto the Lord,” a captain over thousands under Jehoshaphat ([2 Chr. 17:16](/2chr#2Chr.17.16); comp. [Judg. 5:9](/judg#Judg.5.9))."
amaziah_214,"The son and successor of Joash, and eighth king of the separate kingdom of Judah ([2 Kings 14:1-4](/2kgs#2Kgs.14.1)). He began his reign by punishing the murderers of his father (5-7; [2 Chr. 25:3-5](/2chr#2Chr.25.3)). He was the first to employ a mercenary army of 100,000 Israelite soldiers, which he did in his attempt to bring the Edomites again under the yoke of Judah ([2 Chr. 25:5](/2chr#2Chr.25.5), [6](/2chr#2Chr.25.6)). He was commanded by a prophet of the Lord to send back the mercenaries, which he did ([2 Chr. 25:7-10](/2chr#2Chr.25.7), [13](/2chr#2Chr.25.13)), much to their annoyance. His obedience to this command was followed by a decisive victory over the Edomites ([2 Chr. 25:14-16](/2chr#2Chr.25.14)). Amaziah began to worship some of the idols he took from the Edomites, and this was his ruin, for he was vanquished by Joash, king of Israel, whom he challenged to battle. The disaster he thus brought upon Judah by his infatuation in proclaiming war against Israel probably occasioned the conspiracy by which he lost his life ([2 Kings 14:8-14](/2kgs#2Kgs.14.8), [19](/2kgs#2Kgs.14.19)). He was slain at Lachish, whither he had fled, and his body was brought upon horses to Jerusalem, where it was buried in the royal sepulchre ([2 Kings 14:19](/2kgs#2Kgs.14.19), [20](/2kgs#2Kgs.14.20); [2 Chr. 25:27](/2chr#2Chr.25.27), [28](/2chr#2Chr.25.28))."
amaziah_215,"The father of Joshah, one of the Simeonite chiefs in the time of Hezekiah ([1 Chr. 4:34](/1chr#1Chr.4.34))."
amaziah_216,"A Levite, son of Hilkiah, of the descendants of Ethan the Merarite ([1 Chr. 6:45](/1chr#1Chr.6.45))."
amaziah_217,A priest of the golden calves at Bethel ([Amos 7:10-17](/amos#Amos.7.10)).
amittai_219,"True, the father of Jonah the prophet, a native of Gath-hepher ([2 Kings 14:25](/2kgs#2Kgs.14.25); [Jonah 1:1](/jonah#Jonah.1.1))."
ammiel_220,One of the twelve spies sent by Moses to search the land of Canaan ([Num. 13:12](/num#Num.13.12)). He was one of the ten who perished by the plague for their unfavourable report ([Num. 14:37](/num#Num.14.37)).
ammiel_221,"The father of Machir of Lo-debar, in whose house Mephibosheth resided ([2 Sam. 9:4](/2sam#2Sam.9.4), [5](/2sam#2Sam.9.5); 17:27)."
ammiel_222,One of the sons of Obed-edom the Levite ([1 Chr. 26:5](/1chr#1Chr.26.5)).
ammihud_223,"The father of the Ephraimite chief Elishama, at the time of the Exodus ([Num. 1:10](/num#Num.1.10); [2:18](/num#Num.2.18); [7:48](/num#Num.7.48), [53](/num#Num.7.53))."
ammihud_224,[Num. 34:20](/num#Num.34.20).
ammihud_225,[Num. 34:28](/num#Num.34.28).
ammihud_226,"The father of Talmai, king of Geshur, to whom Absalom fled after the murder of Amnon ([2 Sam. 13:37](/2sam#2Sam.13.37))."
ammihud_227,"The son of Omri, and the father of Uthai ([1 Chr. 9:4](/1chr#1Chr.9.4))."
amminadab_228,"The father of Nahshon, who was chief of the tribe of Judah ([Num. 1:7](/num#Num.1.7); [2:3](/num#Num.2.3); [7:12](/num#Num.7.12), [17](/num#Num.7.17); [10:14](/num#Num.10.14)). His daughter Elisheba was married to Aaron ([Ex. 6:23](/exod#Exod.6.23))."
amminadab_229,"Chief of the 112 descendants of Uzziel the Levite ([1 Chr. 15:10](/1chr#1Chr.15.10), [11](/1chr#1Chr.15.11))."
ammishaddai_230,"People of the Almighty, the father of Ahiezer, who was chief of the Danites at the time of the Exodus ([Num. 1:12](/num#Num.1.12); [2:25](/num#Num.2.25)). This is one of the few names compounded with the name of God, Shaddai, “Almighty.”"
ammizabad_231,"People of the giver, the son of Benaiah, who was the third and chief captain of the host under David ([1 Chr. 27:6](/1chr#1Chr.27.6))."
amnon_232,"The eldest son of David, by Ahinoam of Jezreel ([1 Chr. 3:1](/1chr#1Chr.3.1); [2 Sam. 3:2](/2sam#2Sam.3.2)). Absalom caused him to be put to death for his great crime in the matter of Tamar ([2 Sam. 13:28](/2sam#2Sam.13.28), [29](/2sam#2Sam.13.29))."
amnon_233,"One of the sons of Shammai, of the children of Ezra ([1 Chr. 4:20](/1chr#1Chr.4.20); comp. 17)."
amok_234,
amon_218,[Neh. 7:59](/neh#Neh.7.59).
amon_235,The governor of Samaria in the time of Ahab. The prophet Micaiah was committed to his custody ([1 Kings 22:26](/1kgs#1Kgs.22.26); [2 Chr. 18:25](/2chr#2Chr.18.25)).
amon_236,"The son of Manasseh, and fourteenth king of Judah. He restored idolatry, and set up the images which his father had cast down. Zephaniah (1:4; 3:4, 11) refers to the moral depravity prevailing in this king’s reign.

 He was assassinated ([2 Kings 21:18-26](/2kgs#2Kgs.21.18): [2 Chr. 33:20-25](/2chr#2Chr.33.20)) by his own servants, who conspired against him.55"
amorite_237,"Highlanders, or hillmen, the name given to the descendants of one of the sons of Canaan ([Gen. 14:7](/gen#Gen.14.7)), called Amurra or Amurri in the Assyrian and Egyptian inscriptions. On the early Babylonian monuments all Syria, including Palestine, is known as “the land of the Amorites.” The southern slopes of the mountains of Judea are called the “mount of the Amorites” ([Deut. 1:7](/deut#Deut.1.7), [19](/deut#Deut.1.19), [20](/deut#Deut.1.20)). They seem to have originally occupied the land stretching from the heights west of the Dead Sea ([Gen. 14:7](/gen#Gen.14.7)) to Hebron (13. Comp. 13:8; [Deut. 3:8](/deut#Deut.3.8); [4:46-48](/deut#Deut.4.46)), embracing “all Gilead and all Bashan” ([Deut. 3:10](/deut#Deut.3.10)), with the Jordan valley on the east of the river (4:49), the land of the “two kings of the Amorites,” Sihon and Og ([Deut. 31:4](/deut#Deut.31.4); [Josh. 2:10](/josh#Josh.2.10); [9:10](/josh#Josh.9.10)). The five kings of the Amorites were defeated with great slaughter by Joshua (10:10). They were again defeated at the waters of Merom by Joshua, who smote them till there were none remaining ([Josh. 11:8](/josh#Josh.11.8)). It is mentioned as a surprising circumstance that in the days of Samuel there was peace between them and the Israelites ([1 Sam. 7:14](/1sam#1Sam.7.14)). The discrepancy supposed to exist between [Deut. 1:44](/deut#Deut.1.44) and [Num. 14:45](/num#Num.14.45) is explained by the circumstance that the terms “Amorites” and “Amalekites” are used synonymously for the “Canaanites.” In the same way we explain the fact that the “Hivites” of [Gen. 34:2](/gen#Gen.34.2) are the “Amorites” of 48:22. Comp. [Josh. 10:6](/josh#Josh.10.6); [11:19](/josh#Josh.11.19) with [2 Sam. 21:2](/2sam#2Sam.21.2); also [Num. 14:45](/num#Num.14.45) with [Deut. 1:44](/deut#Deut.1.44). The Amorites were warlike mountaineers. They are represented on the Egyptian monuments with fair skins, light hair, blue eyes, aquiline noses, and pointed beards. They are supposed to have been men of great stature; their king, Og, is described by Moses as the last “of the remnant of the giants” ([Deut. 3:11](/deut#Deut.3.11)). Both Sihon and Og were independent kings. Only one word of the Amorite language survives, “Shenir,” the name they gave to Mount Hermon ([Deut. 3:9](/deut#Deut.3.9))."
amos_238,"Borne; a burden, one of the twelve minor prophets. He was a native of Tekota, the modern Tekua, a town about 12 miles south-east of Bethlehem. He was a man of humble birth, neither a “prophet nor a prophet’s son,” but “an herdman and a dresser of sycomore trees,” R.V. He prophesied in the days of Uzziah, king of Judah, and was contemporary with Isaiah and Hosea ([Amos 1:1](/amos#Amos.1.1); [7:14](/amos#Amos.7.14), [15](/amos#Amos.7.15); [Zech. 14:5](/zech#Zech.14.5)), who survived him a few years. Under Jeroboam II. the kingdom of Israel rose to the zenith of its prosperity; but that was followed by the prevalence of luxury and vice and idolatry. At this period Amos was called from his obscurity to remind the people of the law of God’s retributive justice, and to call them to repentance.

 The Book of Amos consists of three parts:"
amos_239,
amoz_240,"Strong, the father of the prophet Isaiah ([2 Kings 19:2](/2kgs#2Kgs.19.2), [20](/2kgs#2Kgs.19.20); 20:1; [Isa. 1:1](/isa#Isa.1.1); [2:1](/isa#Isa.2.1)). As to his personal history little is positively known. He is supposed by some to have been the “man of God” spoken of in [2 Chr. 25:7](/2chr#2Chr.25.7), [8](/2chr#2Chr.25.8)."
amplias_241,A Roman Christian saluted by Paul ([Rom. 16:8](/rom#Rom.16.8)).
amram_242,"The son of Kohath, the son of Levi. He married Jochebed, “his father’s sister,” and was the father of Aaron, Miriam, and Moses ([Ex. 6:18](/exod#Exod.6.18), [20](/exod#Exod.6.20); [Num. 3:19](/num#Num.3.19)). He died in Egypt at the age of 137 years ([Ex. 6:20](/exod#Exod.6.20)). His descendants were called Amramites ([Num. 3:27](/num#Num.3.27); [1 Chr. 26:23](/1chr#1Chr.26.23))."
amram_243,[Ezra 10:34](/ezra#Ezra.10.34).
amraphel_244,"King of Shinar, southern Chaldea, one of the confederates of Chedorlaomer, king of Elam, in a war against Sodom and cities of the plain ([Gen. 14:1](/gen#Gen.14.1), [4](/gen#Gen.14.4)). It is now found that Amraphel (or Ammirapaltu) is the Khammu-rabi whose name appears on recently-discovered monuments. After defeating Arioch (q.v.) he united Babylonia under one rule, and made Babylon his capital."
amzi_245,
amzi_246,
anah_247,
anah_248,
anah_249,
anaiah_250,
anaiah_251,
anak_252,"Long-necked, the son of Arba, father of the Anakim ([Josh. 15:13](/josh#Josh.15.13); [21:11](/josh#Josh.21.11), Heb. Anok)."
anamim_253,The name of an Egyptian tribe descended from Mizraim ([Gen. 10:13](/gen#Gen.10.13); [1 Chr. 1:11](/1chr#1Chr.1.11)).
anammelech_254,"One of the gods worshipped by the people of Sepharvaim, who colonized Samaria ([2 Kings 17:31](/2kgs#2Kgs.17.31)). The name means “Anu is king.” It was a female deity representing the moon, as Adrammelech (q.v.) was the male representing the sun."
anan_255,"Cloud, one of the Israelites who sealed the covenant after the return from Babylon ([Neh. 10:26](/neh#Neh.10.26))."
anani_256,
ananiah_257,
