EventID,Reference,Concatenated_Text
1085,2 Kings 21:10-15,"[2 Kings] [ch 21] [verse 10] And Jehovah spake by his servants the prophets, saying, [verse 11] Because Manasseh king of Judah hath done these abominations, and hath done wickedly above all that the Amorites did, that were before him, and hath made Judah also to sin with his idols; [verse 12] therefore thus saith Jehovah, the God of Israel, Behold, I bring such evil upon Jerusalem and Judah, that whosoever heareth of it, both his ears shall tingle. [verse 13] And I will stretch over Jerusalem the line of Samaria, and the plummet of the house of Ahab; and I will wipe Jerusalem as a man wipeth a dish, wiping it and turning it upside down. [verse 14] And I will cast off the remnant of mine inheritance, and deliver them into the hand of their enemies; and they shall become a prey and a spoil to all their enemies; [verse 15] because they have done that which is evil in my sight, and have provoked me to anger, since the day their fathers came forth out of Egypt, even unto this day."
1086,2 Kings 21:13,"[2 Kings] [ch 21] [verse 13] And I will stretch over Jerusalem the line of Samaria, and the plummet of the house of Ahab; and I will wipe Jerusalem as a man wipeth a dish, wiping it and turning it upside down."
1087,2 Kings 22:8,"[2 Kings] [ch 22] [verse 8] And Hilkiah the high priest said unto Shaphan the scribe, I have found the book of the law in the house of Jehovah. And Hilkiah delivered the book to Shaphan, and he read it."
1088,2 Kings 22:15-17,"[2 Kings] [ch 22] [verse 15] And she said unto them, Thus saith Jehovah, the God of Israel: Tell ye the man that sent you unto me, [verse 16] Thus saith Jehovah, Behold, I will bring evil upon this place, and upon the inhabitants thereof, even all the words of the book which the king of Judah hath read. [verse 17] Because they have forsaken me, and have burned incense unto other gods, that they might provoke me to anger with all the work of their hands, therefore my wrath shall be kindled against this place, and it shall not be quenched."
1089,2 Kings 22:18-20,"[2 Kings] [ch 22] [verse 18] But unto the king of Judah, who sent you to inquire of Jehovah, thus shall ye say to him, Thus saith Jehovah, the God of Israel: As touching the words which thou hast heard, [verse 19] because thy heart was tender, and thou didst humble thyself before Jehovah, when thou heardest what I spake against this place, and against the inhabitants thereof, that they should become a desolation and a curse, and hast rent thy clothes, and wept before me; I also have heard thee, saith Jehovah. [verse 20] Therefore, behold, I will gather thee to thy fathers, and thou shalt be gathered to thy grave in peace, neither shall thine eyes see all the evil which I will bring upon this place. And they brought the king word again."
1090,2 Kings 23:16,"[2 Kings] [ch 23] [verse 16] And as Josiah turned himself, he spied the sepulchres that were there in the mount; and he sent, and took the bones out of the sepulchres, and burned them upon the altar, and defiled it, according to the word of Jehovah which the man of God proclaimed, who proclaimed these things."
1091,2 Kings 23:17-18,"[2 Kings] [ch 23] [verse 17] Then he said, What monument is that which I see? And the men of the city told him, It is the sepulchre of the man of God, who came from Judah, and proclaimed these things that thou hast done against the altar of Beth-el. [verse 18] And he said, Let him be; let no man move his bones. So they let his bones alone, with the bones of the prophet that came out of Samaria."
1092,2 Kings 23:22,"[2 Kings] [ch 23] [verse 22] Surely there was not kept such a passover from the days of the judges that judged Israel, nor in all the days of the kings of Israel, nor of the kings of Judah;"
1093,2 Kings 23:26,"[2 Kings] [ch 23] [verse 26] Notwithstanding, Jehovah turned not from the fierceness of his great wrath, wherewith his anger was kindled against Judah, because of all the provocations wherewith Manasseh had provoked him."
1094,2 Kings 23:27,"[2 Kings] [ch 23] [verse 27] And Jehovah said, I will remove Judah also out of my sight, as I have removed Israel, and I will cast off this city which I have chosen, even Jerusalem, and the house of which I said, My name shall be there."
1095,2 Kings 24:2,"[2 Kings] [ch 24] [verse 2] And Jehovah sent against him bands of the Chaldeans, and bands of the Syrians, and bands of the Moabites, and bands of the children of Ammon, and sent them against Judah to destroy it, according to the word of Jehovah, which he spake by his servants the prophets."
1096,2 Kings 24:3-4,"[2 Kings] [ch 24] [verse 3] Surely at the commandment of Jehovah came this upon Judah, to remove them out of his sight, for the sins of Manasseh, according to all that he did, [verse 4] and also for the innocent blood that he shed; for he filled Jerusalem with innocent blood: and Jehovah would not pardon."
1097,2 Kings 24:13,"[2 Kings] [ch 24] [verse 13] And he carried out thence all the treasures of the house of Jehovah, and the treasures of the king's house, and cut in pieces all the vessels of gold, which Solomon king of Israel had made in the temple of Jehovah, as Jehovah had said."
1098,2 Kings 24:13,"[2 Kings] [ch 24] [verse 13] And he carried out thence all the treasures of the house of Jehovah, and the treasures of the king's house, and cut in pieces all the vessels of gold, which Solomon king of Israel had made in the temple of Jehovah, as Jehovah had said."
1099,2 Kings 24:14,"[2 Kings] [ch 24] [verse 14] And he carried away all Jerusalem, and all the princes, and all the mighty men of valor, even ten thousand captives, and all the craftsmen and the smiths; none remained, save the poorest sort of the people of the land."
1100,2 Kings 24:14,"[2 Kings] [ch 24] [verse 14] And he carried away all Jerusalem, and all the princes, and all the mighty men of valor, even ten thousand captives, and all the craftsmen and the smiths; none remained, save the poorest sort of the people of the land."
1101,2 Kings 24:20,"[2 Kings] [ch 24] [verse 20] For through the anger of Jehovah did it come to pass in Jerusalem and Judah, until he had cast them out from his presence. And Zedekiah rebelled against the king of Babylon."
1102,2 Kings 25:1,"[2 Kings] [ch 25] [verse 1] And it came to pass in the ninth year of his reign, in the tenth month, in the tenth day of the month, that Nebuchadnezzar king of Babylon came, he and all his army, against Jerusalem, and encamped against it; and they built forts against it round about."
1103,2 Kings 25:9,"[2 Kings] [ch 25] [verse 9] And he burnt the house of Jehovah, and the king's house; and all the houses of Jerusalem, even every great house, burnt he with fire."
1104,2 Kings 25:11,"[2 Kings] [ch 25] [verse 11] And the residue of the people that were left in the city, and those that fell away, that fell to the king of Babylon, and the residue of the multitude, did Nebuzaradan the captain of the guard carry away captive."
1105,2 Kings 25:21,"[2 Kings] [ch 25] [verse 21] And the king of Babylon smote them, and put them to death at Riblah in the land of Hamath. So Judah was carried away captive out of his land."
1106,1 Chronicles 10:13-14,"[1 Chronicles] [ch 10] [verse 13] So Saul died for his trespass which he committed against Jehovah, because of the word of Jehovah, which he kept not; and also for that he asked counsel of one that had a familiar spirit, to inquire [thereby] , [verse 14] and inquired not of Jehovah: therefore he slew him, and turned the kingdom unto David the son of Jesse."
1107,1 Chronicles 10:13-14,"[1 Chronicles] [ch 10] [verse 13] So Saul died for his trespass which he committed against Jehovah, because of the word of Jehovah, which he kept not; and also for that he asked counsel of one that had a familiar spirit, to inquire [thereby] , [verse 14] and inquired not of Jehovah: therefore he slew him, and turned the kingdom unto David the son of Jesse."
1108,1 Chronicles 10:14,"[1 Chronicles] [ch 10] [verse 14] and inquired not of Jehovah: therefore he slew him, and turned the kingdom unto David the son of Jesse."
1109,1 Chronicles 11:1-3,"[1 Chronicles] [ch 11] [verse 1] Then all Israel gathered themselves to David unto Hebron, saying, Behold, we are thy bone and thy flesh. [verse 2] In times past, even when Saul was king, it was thou that leddest out and broughtest in Israel: and Jehovah thy God said unto thee, Thou shalt be shepherd of my people Israel, and thou shalt be prince over my people Israel. [verse 3] So all the elders of Israel came to the king to Hebron; and David made a covenant with them in Hebron before Jehovah; and they anointed David king over Israel, according to the word of Jehovah by Samuel."
1110,1 Chronicles 11:4-9,"[1 Chronicles] [ch 11] [verse 4] And David and all Israel went to Jerusalem (the same is Jebus); and the Jebusites, the inhabitants of the land, were there. [verse 5] And the inhabitants of Jebus said to David, Thou shalt not come in hither. Nevertheless David took the stronghold of Zion; the same is the city of David. [verse 6] And David said, Whosoever smiteth the Jebusites first shall be chief and captain. And Joab the son of Zeruiah went up first, and was made chief. [verse 7] And David dwelt in the stronghold; therefore they called it the city of David. [verse 8] And he built the city round about, from Millo even round about; and Joab repaired the rest of the city. [verse 9] And David waxed greater and greater; for Jehovah of hosts was with him."
1111,1 Chronicles 11:9,[1 Chronicles] [ch 11] [verse 9] And David waxed greater and greater; for Jehovah of hosts was with him.
1112,1 Chronicles 11:10-47,"[1 Chronicles] [ch 11] [verse 10] Now these are the chief of the mighty men whom David had, who showed themselves strong with him in his kingdom, together with all Israel, to make him king, according to the word of Jehovah concerning Israel. [verse 11] And this is the number of the mighty men whom David had: Jashobeam, the son of a Hachmonite, the chief of the thirty; he lifted up his spear against three hundred and slew them at one time. [verse 12] And after him was Eleazar the son of Dodo, the Ahohite, who was one of the three mighty men. [verse 13] He was with David at Pasdammim, and there the Philistines were gathered together to battle, where was a plot of ground full of barley; and the people fled from before the Philistines. [verse 14] And they stood in the midst of the plot, and defended it, and slew the Philistines; and Jehovah saved them by a great victory. [verse 15] And three of the thirty chief men went down to the rock to David, into the cave of Adullam; and the host of the Philistines were encamped in the valley of Rephaim. [verse 16] And David was then in the stronghold, and the garrison of the Philistines was then in Beth-lehem. [verse 17] And David longed, and said, Oh that one would give me water to drink of the well of Beth-lehem, which is by the gate! [verse 18] And the three brake through the host of the Philistines, and drew water out of the well of Beth-lehem, that was by the gate, and took it, and brought it to David: but David would not drink thereof, but poured it out unto Jehovah, [verse 19] and said, My God forbid it me, that I should do this: shall I drink the blood of these men that have put their lives in jeopardy? for with [the jeopardy of] their lives they brought it. Therefore he would not drink it. These things did the three mighty men. [verse 20] And Abishai, the brother of Joab, he was chief of the three; for he lifted up his spear against three hundred and slew them, and had a name among the three. [verse 21] Of the three, he was more honorable than the two, and was made their captain: howbeit he attained not to the [first] three. [verse 22] Benaiah the son of Jehoiada, the son of a valiant man of Kabzeel, who had done mighty deeds, he slew the two [sons of] Ariel of Moab: he went down also and slew a lion in the midst of a pit in time of snow. [verse 23] And he slew an Egyptian, a man of great stature, five cubits high; and in the Egyptian's hand was a spear like a weaver's beam; and he went down to him with a staff, and plucked the spear out of the Egyptian's hand, and slew him with his own spear. [verse 24] These things did Benaiah the son of Jehoiada, and had a name among the three mighty men. [verse 25] Behold, he was more honorable than the thirty, but he attained not to the [first] three: and David set him over his guard. [verse 26] Also the mighty men of the armies: Asahel the brother of Joab, Elhanan the son of Dodo of Beth-lehem, [verse 27] Shammoth the Harorite, Helez the Pelonite, [verse 28] Ira the son of Ikkesh the Tekoite, Abiezer the Anathothite, [verse 29] Sibbecai the Hushathite, Ilai the Ahohite, [verse 30] Maharai the Netophathite, Heled the son of Baanah the Netophathite, [verse 31] Ithai the son of Ribai of Gibeah of the children of Benjamin, Benaiah the Pirathonite, [verse 32] Hurai of the brooks of Gaash, Abiel the Arbathite, [verse 33] Azmaveth the Baharumite, Eliahba the Shaalbonite, [verse 34] the sons of Hashem the Gizonite, Jonathan the son of Shagee the Hararite, [verse 35] Ahiam the son of Sacar the Hararite, Eliphal the son of Ur, [verse 36] Hepher the Mecherathite, Ahijah the Pelonite, [verse 37] Hezro the Carmelite, Naarai the son of Ezbai, [verse 38] Joel the brother of Nathan, Mibhar the son of Hagri, [verse 39] Zelek the Ammonite, Naharai the Berothite, the armorbearer of Joab the son of Zeruiah, [verse 40] Ira the Ithrite, Gareb the Ithrite, [verse 41] Uriah the Hittite, Zabad the son of Ahlai, [verse 42] Adina the son of Shiza the Reubenite, a chief of the Reubenites, and thirty with him, [verse 43] Hanan the son of Maacah, and Joshaphat the Mithnite, [verse 44] Uzzia the Ashterathite, Shama and Jeiel the sons of Hotham the Aroerite, [verse 45] Jediael the son of Shimri, and Joha his brother, the Tizite, [verse 46] Eliel the Mahavite, and Jeribai, and Joshaviah, the sons of Elnaam, and Ithmah the Moabite, [verse 47] Eliel, and Obed, and Jaasiel the Mezobaite."
1113,1 Chronicles 12:18,"[1 Chronicles] [ch 12] [verse 18] Then the Spirit came upon Amasai, who was chief of the thirty, [and he said], Thine are we, David, and on thy side, thou son of Jesse: peace, peace be unto thee, and peace be to thy helpers; for thy God helpeth thee. Then David received them, and made them captains of the band."
1114,1 Chronicles 12:22,"[1 Chronicles] [ch 12] [verse 22] For from day to day men came to David to help him, until there was a great host, like the host of God."
1115,1 Chronicles 13:10-11,"[1 Chronicles] [ch 13] [verse 10] And the anger of Jehovah was kindled against Uzza, and he smote him, because he put forth his hand to the ark; and there he died before God. [verse 11] And David was displeased, because Jehovah had broken forth upon Uzza; and he called that place Perez-uzza, unto this day."
1116,1 Chronicles 13:10,"[1 Chronicles] [ch 13] [verse 10] And the anger of Jehovah was kindled against Uzza, and he smote him, because he put forth his hand to the ark; and there he died before God."
1117,1 Chronicles 13:12,"[1 Chronicles] [ch 13] [verse 12] And David was afraid of God that day, saying, How shall I bring the ark of God home to me?"
1118,1 Chronicles 13:14,"[1 Chronicles] [ch 13] [verse 14] And the ark of God remained with the family of Obed-edom in his house three months: and Jehovah blessed the house of Obed-edom, and all that he had."
1119,1 Chronicles 14:2,"[1 Chronicles] [ch 14] [verse 2] And David perceived that Jehovah had established him king over Israel; for his kingdom was exalted on high, for his people Israel's sake."
1120,1 Chronicles 14:3-7,"[1 Chronicles] [ch 14] [verse 3] And David took more wives at Jerusalem; and David begat more sons and daughters. [verse 4] And these are the names of the children whom he had in Jerusalem: Shammua, and Shobab, Nathan, and Solomon, [verse 5] and Ibhar, and Elishua, and Elpelet, [verse 6] and Nogah, and Nepheg, and Japhia, [verse 7] and Elishama, and Beeliada, and Eliphelet."
1121,1 Chronicles 14:10,"[1 Chronicles] [ch 14] [verse 10] And David inquired of God, saying, Shall I go up against the Philistines? and wilt thou deliver them into my hand? And Jehovah said unto him, Go up; for I will deliver them into thy hand."
1122,1 Chronicles 14:10,"[1 Chronicles] [ch 14] [verse 10] And David inquired of God, saying, Shall I go up against the Philistines? and wilt thou deliver them into my hand? And Jehovah said unto him, Go up; for I will deliver them into thy hand."
1123,1 Chronicles 14:11,"[1 Chronicles] [ch 14] [verse 11] So they came up to Baal-perazim, and David smote them there; and David said, God hath broken mine enemies by my hand, like the breach of waters. Therefore they called the name of that place [ Baal-perazim."
1124,1 Chronicles 14:14,"[1 Chronicles] [ch 14] [verse 14] And David inquired again of God; and God said unto him, Thou shalt not go up after them: turn away from them, and come upon them over against the mulberry-trees."
1125,1 Chronicles 14:14-15,"[1 Chronicles] [ch 14] [verse 14] And David inquired again of God; and God said unto him, Thou shalt not go up after them: turn away from them, and come upon them over against the mulberry-trees. [verse 15] And it shall be, when thou hearest the sound of marching in the tops of the mulberry-trees, that then thou shalt go out to battle; for God is gone out before thee to smite the host of the Philistines."
1126,1 Chronicles 14:15,"[1 Chronicles] [ch 14] [verse 15] And it shall be, when thou hearest the sound of marching in the tops of the mulberry-trees, that then thou shalt go out to battle; for God is gone out before thee to smite the host of the Philistines."
1127,1 Chronicles 14:16,[1 Chronicles] [ch 14] [verse 16] And David did as God commanded him: and they smote the host of the Philistines from Gibeon even to Gezer.
1128,1 Chronicles 14:17,[1 Chronicles] [ch 14] [verse 17] And the fame of David went out into all lands; and Jehovah brought the fear of him upon all nations.
1129,1 Chronicles 14:17,[1 Chronicles] [ch 14] [verse 17] And the fame of David went out into all lands; and Jehovah brought the fear of him upon all nations.
1130,1 Chronicles 15:1,"[1 Chronicles] [ch 15] [verse 1] And [David] made him houses in the city of David; and he prepared a place for the ark of God, and pitched for it a tent."
1131,1 Chronicles 15:26,"[1 Chronicles] [ch 15] [verse 26] And it came to pass, when God helped the Levites that bare the ark of the covenant of Jehovah, that they sacrificed seven bullocks and seven rams."
1132,1 Chronicles 15:28-29,"[1 Chronicles] [ch 15] [verse 28] Thus all Israel brought up the ark of the covenant of Jehovah with shouting, and with sound of the cornet, and with trumpets, and with cymbals, sounding aloud with psalteries and harps. [verse 29] And it came to pass, as the ark of the covenant of Jehovah came to the city of David, that Michal the daughter of Saul looked out at the window, and saw king David dancing and playing; and she despised him in her heart."
1133,1 Chronicles 17:1-2,"[1 Chronicles] [ch 17] [verse 1] And it came to pass, when David dwelt in his house, that David said to Nathan the prophet, Lo, I dwell in a house of cedar, but the ark of the covenant of Jehovah [dwelleth] under curtains. [verse 2] And Nathan said unto David, Do all that is in thy heart; for God is with thee."
1134,1 Chronicles 17:3,"[1 Chronicles] [ch 17] [verse 3] And it came to pass the same night, that the word of God came to Nathan, saying,"
1135,1 Chronicles 17:4-15,"[1 Chronicles] [ch 17] [verse 10] and [as] from the day that I commanded judges to be over my people Israel; and I will subdue all thine enemies. Moreover I tell thee that Jehovah will build thee a house. [verse 11] And it shall come to pass, when thy days are fulfilled that thou must go to be with thy fathers, that I will set up thy seed after thee, who shall be of thy sons; and I will establish his kingdom. [verse 12] He shall build me a house, and I will establish his throne for ever. [verse 13] I will be his father, and he shall be my son: and I will not take my lovingkindness away from him, as I took it from him that was before thee; [verse 14] but I will settle him in my house and in my kingdom for ever; and his throne shall be established for ever. [verse 15] According to all these words, and according to all this vision, so did Nathan speak unto David. [verse 4] Go and tell David my servant, Thus saith Jehovah, Thou shalt not build me a house to dwell in: [verse 5] for I have not dwelt in a house since the day that I brought up Israel, unto this day, but have gone from tent to tent, and from [one] tabernacle [to another] . [verse 6] In all places wherein I have walked with all Israel, spake I a word with any of the judges of Israel, whom I commanded to be shepherd of my people, saying, Why have ye not built me a house of cedar? [verse 7] Now therefore thus shalt thou say unto my servant David, Thus saith Jehovah of hosts, I took thee from the sheepcote, from following the sheep, that thou shouldest be prince over my people Israel: [verse 8] and I have been with thee whithersoever thou hast gone, and have cut off all thine enemies from before thee; and I will make thee a name, like unto the name of the great ones that are in the earth. [verse 9] And I will appoint a place for my people Israel, and will plant them, that they may dwell in their own place, and be moved no more; neither shall the children of wickedness waste them any more, as at the first,"
1136,1 Chronicles 17:11-12,"[1 Chronicles] [ch 17] [verse 11] And it shall come to pass, when thy days are fulfilled that thou must go to be with thy fathers, that I will set up thy seed after thee, who shall be of thy sons; and I will establish his kingdom. [verse 12] He shall build me a house, and I will establish his throne for ever."
1137,1 Chronicles 17:14,[1 Chronicles] [ch 17] [verse 14] but I will settle him in my house and in my kingdom for ever; and his throne shall be established for ever.
1138,1 Chronicles 17:15,"[1 Chronicles] [ch 17] [verse 15] According to all these words, and according to all this vision, so did Nathan speak unto David."
1139,1 Chronicles 17:16-27,"[1 Chronicles] [ch 17] [verse 16] Then David the king went in, and sat before Jehovah; and he said, Who am I, O Jehovah God, and what is my house, that thou hast brought me thus far? [verse 17] And this was a small thing in thine eyes, O God; but thou hast spoken of thy servant's house for a great while to come, and hast regarded me according to the estate of a man of high degree, O Jehovah God. [verse 18] What can David [say] yet more unto thee concerning the honor which is done to thy servant? for thou knowest thy servant. [verse 19] O Jehovah, for thy servant's sake, and according to thine own heart, hast thou wrought all this greatness, to make known all [these] great things. [verse 20] O Jehovah, there is none like thee, neither is there any God besides thee, according to all that we have heard with our ears. [verse 21] And what one nation in the earth is like thy people Israel, whom God went to redeem unto himself for a people, to make thee a name by great and terrible things, in driving out nations from before thy people, whom thou redeemest out of Egypt? [verse 22] For thy people Israel didst thou make thine own people for ever; and thou, Jehovah, becamest their God. [verse 23] And now, O Jehovah, let the word that thou hast spoken concerning thy servant, and concerning his house, be established for ever, and do as thou hast spoken. [verse 24] And let thy name be established and magnified for ever, saying, Jehovah of hosts is the God of Israel, even a God to Israel: and the house of David thy servant is established before thee. [verse 25] For thou, O my God, hast revealed to thy servant that thou wilt build him a house: therefore hath thy servant found [in his heart] to pray before thee. [verse 26] And now, O Jehovah, thou art God, and hast promised this good thing unto thy servant: [verse 27] and now it hath pleased thee to bless the house of thy servant, that it may continue for ever before thee: for thou, O Jehovah, hast blessed, and it is blessed for ever."
1140,"1 Chronicles 18:6, 13","[1 Chronicles] [ch 18] [verse 13] And he put garrisons in Edom; and all the Edomites became servants to David. And Jehovah gave victory to David whithersoever he went. [verse 6] Then David put [garrisons] in Syria of Damascus; and the Syrians became servants to David, and brought tribute. And Jehovah gave victory to David whithersoever he went."
1141,1 Chronicles 18:1-17,"[1 Chronicles] [ch 18] [verse 1] And after this it came to pass, that David smote the Philistines, and subdued them, and took Gath and its towns out of the hand of the Philistines. [verse 10] he sent Hadoram his son to king David, to salute him, and to bless him, because he had fought against Hadarezer and smitten him; (for Hadarezer had wars with Tou;) and [he had with him] all manner of vessels of gold and silver and brass. [verse 11] These also did king David dedicate unto Jehovah, with the silver and the gold that he carried away from all the nations; from Edom, and from Moab, and from the children of Ammon, and from the Philistines, and from Amalek. [verse 12] Moreover Abishai the son of Zeruiah smote of the Edomites in the Valley of Salt eighteen thousand. [verse 13] And he put garrisons in Edom; and all the Edomites became servants to David. And Jehovah gave victory to David whithersoever he went. [verse 14] And David reigned over all Israel; and he executed justice and righteousness unto all his people. [verse 15] And Joab the son of Zeruiah was over the host; and Jehoshaphat the son of Ahilud was recorder; [verse 16] and Zadok the son of Ahitub, and Abimelech the son of Abiathar, were priests; and Shavsha was scribe; [verse 17] and Benaiah the son of Jehoiada was over the Cherethites and the Pelethites; and the sons of David were chief about the king. [verse 2] And he smote Moab; and the Moabites became servants to David, and brought tribute. [verse 3] And David smote Hadarezer king of Zobah unto Hamath, as he went to establish his dominion by the river Euphrates. [verse 4] And David took from him a thousand chariots, and seven thousand horsemen, and twenty thousand footmen; and David hocked all the chariot horses, but reserved of them for a hundred chariots. [verse 5] And when the Syrians of Damascus came to succor Hadarezer king of Zobah, David smote of the Syrians two and twenty thousand men. [verse 6] Then David put [garrisons] in Syria of Damascus; and the Syrians became servants to David, and brought tribute. And Jehovah gave victory to David whithersoever he went. [verse 7] And David took the shields of gold that were on the servants of Hadarezer, and brought them to Jerusalem. [verse 8] And from Tibhath and from Cun, cities of Hadarezer, David took very much brass, wherewith Solomon made the brazen sea, and the pillars, and the vessels of brass. [verse 9] And when Tou king of Hamath heard that David had smitten all the host of Hadarezer king of Zobah,"
1142,1 Chronicles 21:1,"[1 Chronicles] [ch 21] [verse 1] And Satan stood up against Israel, and moved David to number Israel."
1143,1 Chronicles 21:1,"[1 Chronicles] [ch 21] [verse 1] And Satan stood up against Israel, and moved David to number Israel."
1144,1 Chronicles 21:8,"[1 Chronicles] [ch 21] [verse 8] And David said unto God, I have sinned greatly, in that I have done this thing: but now, put away, I beseech thee, the iniquity of thy servant; for I have done very foolishly."
1145,1 Chronicles 21:8,"[1 Chronicles] [ch 21] [verse 8] And David said unto God, I have sinned greatly, in that I have done this thing: but now, put away, I beseech thee, the iniquity of thy servant; for I have done very foolishly."
1146,1 Chronicles 21:9-12,"[1 Chronicles] [ch 21] [verse 10] Go and speak unto David, saying, Thus saith Jehovah, I offer thee three things: choose thee one of them, that I may do it unto thee. [verse 11] So Gad came to David, and said unto him, Thus saith Jehovah, Take which thou wilt: [verse 12] either three years of famine; or three months to be consumed before thy foes, while the sword of thine enemies overtaketh thee; or else three days the sword of Jehovah, even pestilence in the land, and the angel of Jehovah destroying throughout all the borders of Israel. Now therefore consider what answer I shall return to him that sent me. [verse 9] And Jehovah spake unto Gad, David's seer, saying,"
1147,1 Chronicles 21:13,"[1 Chronicles] [ch 21] [verse 13] And David said unto Gad, I am in a great strait: let me fall, I pray, into the hand of Jehovah; for very great are his mercies: and let me not fall into the hand of man."
1148,1 Chronicles 21:14,[1 Chronicles] [ch 21] [verse 14] So Jehovah sent a pestilence upon Israel; and there fell of Israel seventy thousand men.
1149,1 Chronicles 21:14,[1 Chronicles] [ch 21] [verse 14] So Jehovah sent a pestilence upon Israel; and there fell of Israel seventy thousand men.
1150,1 Chronicles 21:15,"[1 Chronicles] [ch 21] [verse 15] And God sent an angel unto Jerusalem to destroy it: and as he was about to destroy, Jehovah beheld, and he repented him of the evil, and said to the destroying angel, It is enough; now stay thy hand. And the angel of Jehovah was standing by the threshing-floor of Ornan the Jebusite."
1151,1 Chronicles 21:15,"[1 Chronicles] [ch 21] [verse 15] And God sent an angel unto Jerusalem to destroy it: and as he was about to destroy, Jehovah beheld, and he repented him of the evil, and said to the destroying angel, It is enough; now stay thy hand. And the angel of Jehovah was standing by the threshing-floor of Ornan the Jebusite."
1152,1 Chronicles 21:15-16,"[1 Chronicles] [ch 21] [verse 15] And God sent an angel unto Jerusalem to destroy it: and as he was about to destroy, Jehovah beheld, and he repented him of the evil, and said to the destroying angel, It is enough; now stay thy hand. And the angel of Jehovah was standing by the threshing-floor of Ornan the Jebusite. [verse 16] And David lifted up his eyes, and saw the angel of Jehovah standing between earth and heaven, having a drawn sword in his hand stretched out over Jerusalem. Then David and the elders, clothed in sackcloth, fell upon their faces."
1153,1 Chronicles 21:16,"[1 Chronicles] [ch 21] [verse 16] And David lifted up his eyes, and saw the angel of Jehovah standing between earth and heaven, having a drawn sword in his hand stretched out over Jerusalem. Then David and the elders, clothed in sackcloth, fell upon their faces."
1154,1 Chronicles 21:16,"[1 Chronicles] [ch 21] [verse 16] And David lifted up his eyes, and saw the angel of Jehovah standing between earth and heaven, having a drawn sword in his hand stretched out over Jerusalem. Then David and the elders, clothed in sackcloth, fell upon their faces."
1155,1 Chronicles 21:17,"[1 Chronicles] [ch 21] [verse 17] And David said unto God, Is it not I that commanded the people to be numbered? even I it is that have sinned and done very wickedly; but these sheep, what have they done? let thy hand, I pray thee, O Jehovah my God, be against me, and against my father's house; but not against thy people, that they should be plagued."
1156,1 Chronicles 21:18,"[1 Chronicles] [ch 21] [verse 18] Then the angel of Jehovah commanded Gad to say to David, that David should go up, and rear an altar unto Jehovah in the threshing-floor of Ornan the Jebusite."
1157,1 Chronicles 21:18,"[1 Chronicles] [ch 21] [verse 18] Then the angel of Jehovah commanded Gad to say to David, that David should go up, and rear an altar unto Jehovah in the threshing-floor of Ornan the Jebusite."
1158,1 Chronicles 21:26,"[1 Chronicles] [ch 21] [verse 26] And David built there an altar unto Jehovah, and offered burnt-offerings and peace-offerings, and called upon Jehovah; and he answered him from heaven by fire upon the altar of burnt-offering."
1159,1 Chronicles 21:26,"[1 Chronicles] [ch 21] [verse 26] And David built there an altar unto Jehovah, and offered burnt-offerings and peace-offerings, and called upon Jehovah; and he answered him from heaven by fire upon the altar of burnt-offering."
1160,1 Chronicles 21:27,[1 Chronicles] [ch 21] [verse 27] And Jehovah commanded the angel; and he put up his sword again into the sheath thereof.
1161,1 Chronicles 21:27,[1 Chronicles] [ch 21] [verse 27] And Jehovah commanded the angel; and he put up his sword again into the sheath thereof.
1162,1 Chronicles 22:1,"[1 Chronicles] [ch 22] [verse 1] Then David said, This is the house of Jehovah God, and this is the altar of burnt-offering for Israel."
1163,1 Chronicles 22:9,"[1 Chronicles] [ch 22] [verse 9] Behold, a son shall be born to thee, who shall be a man of rest; and I will give him rest from all his enemies round about; for his name shall be Solomon, and I will give peace and quietness unto Israel in his days:"
1164,1 Chronicles 22:10,"[1 Chronicles] [ch 22] [verse 10] he shall build a house for my name; and he shall be my son, and I will be his father; and I will establish the throne of his kingdom over Israel for ever."
1165,1 Chronicles 22:10,"[1 Chronicles] [ch 22] [verse 10] he shall build a house for my name; and he shall be my son, and I will be his father; and I will establish the throne of his kingdom over Israel for ever."
1166,1 Chronicles 22:11-16,"[1 Chronicles] [ch 22] [verse 11] Now, my son, Jehovah be with thee; and prosper thou, and build the house of Jehovah thy God, as he hath spoken concerning thee. [verse 12] Only Jehovah give thee discretion and understanding, and give thee charge concerning Israel; that so thou mayest keep the law of Jehovah thy God. [verse 13] Then shalt thou prosper, if thou observe to do the statutes and the ordinances which Jehovah charged Moses with concerning Israel: be strong, and of good courage; fear not, neither be dismayed. [verse 14] Now, behold, in my affliction I have prepared for the house of Jehovah a hundred thousand talents of gold, and a thousand thousand talents of silver, and of brass and iron without weight; for it is in abundance: timber also and stone have I prepared; and thou mayest add thereto. [verse 15] Moreover there are workmen with thee in abundance, hewers and workers of stone and timber, and all men that are skilful in every manner of work: [verse 16] of the gold, the silver, and the brass, and the iron, there is no number. Arise and be doing, and Jehovah be with thee."
1167,1 Chronicles 22:12,"[1 Chronicles] [ch 22] [verse 12] Only Jehovah give thee discretion and understanding, and give thee charge concerning Israel; that so thou mayest keep the law of Jehovah thy God."
1168,1 Chronicles 23:2,"[1 Chronicles] [ch 23] [verse 2] And he gathered together all the princes of Israel, with the priests and the Levites."
